count,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Combined AY 26-27,Professor First name,Professor Last name,,TERM,DAY,TIME,ROOM,NOTE / DATE,pull down ,DEAN NOTES,LAB FEE
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,TF,TF 216,,Constructed Textiles,Elana,Adler,,BFA FALL,,,,,,,
0.5,,,,,,12,,,,FN,FN 109,2TS,3D Materiality: Textiles. week 1-7,Elana,Adler,,BFA FALL,TU FR,3:00-5:45,302-303,,,,
0.5,,,,,,-,,,,FN,FN 109,1TS,3D Materiality: Textiles.  week 8-14,Elana,Adler,,BFA FALL,TU FR,3:00-5:45,302-303,,,,
0.5,,,,,,12,,,,FN,FN 109,2TM,3D Materiality: Textiles  7-week class runs 1/11-2/26,Elana,Adler,,BFA SPRING,TU FR,12:00-2:45,301-302,3/11,,,
0.5,,,,,,-,,,,FN,FN 109,1TM,3D Materiality: Textiles  7-week class runs 3/1-4/23,Elana,Adler,,BFA SPRING,TU FR,12:00-2:45,301-302,3/11,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,FN,FN 113,D2,Two-Dimensional Design: Digital,Peter,Alfano,,BFA FALL,TU FR,12:00-2:45,305,fast track and test section,,TC-Computer lab,
1,,,,,,18,,,,GD,GD 211,,Typography I,Peter,Alfano,,BFA FALL,M TH,1:30-4:15,316B,3/11,Prof changed,AD- changed from Jan to Peter,
1,,,,,,junior,,,,GD,GD 336,,Special Topics: Motion Design,Peter,Alfano,,BFA FALL,TU FR,3:00-5:45,316B,3/10,,,
1,,,,,,18,,,,GD,GD 302,,Information Design,Peter,Alfano,,BFA SPRING,TU FR,8:30-11:15,316A,,,,
1,,,,,,20,,,,SEM,SEM 351,GD,Interaction Design,Peter,Alfano,,BFA SPRING,TU FRI,12:00-2:45,316A,,,,
0,,,,,,seniors,,,,GD,GD 431,,Senior Studio. [anticipate 8 seniors],Peter,Alfano,,BFA FALL,M TH,8:45-11:30,MAJOR SPACE,3/11,Prof changed,AD- changed from Peter to TBA,
0,,,,,,18,,,,GD,GD 211,,Typography 1,Peter,Alfano,,BFA FALL,TU FR,3:00-5:45,316B,3/10,Prof changed,,
0,,,,,,18,,,,FN,FN 101 ,DP1,Digital Imaging: Drawing & Painting,Peter,Alfano,,BFA FALL,TU TH,6:30-9:15,305,2/20,,TC EMAI;,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,FN,FN 113,1,Two-Dimensional Design,Greta,Bank,,BFA FALL,TU FR,3:00-4:45,502,3/5,,changed section #,
1,,,,,,18,,,,FN,DR 100,3,Introduction to Drawing,Greta,Bank,,BFA SPRING,TU FR,3:00-5:45,103,2/26/26,Prof changed,TC email,
1,,,,,,18,,,,FN,DR 227,,Anatomical Drawing,Greta,Bank,,BFA SPRING,TU TH,6:30-9:15,102,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,16,,,,FN,FN 101 ,PH1,Digital Imaging: Photography,Tabitha,Barnard,,BFA FALL,M W,6:30-9:15,013-025,,,,
1,,,,,,15,,,,FN,FN 110,7,4D: Space & Temporality,Tabitha,Barnard,,BFA SPRING,M W,1:30-4:15,013-502,,,,
0.5,,,,,,JR MAJOR,,,,PH,PH 322,,Photography Majors Studio,Tabitha,Barnard,,BFA SPRING,M TH,8:45-11:30,013-025-412,,,,
0.5,,,,,,SR MAJOR,,,,PH,PH 422,,Photography Majors Studio,Tabitha,Barnard,,BFA SPRING,M TH,8:45-11:30,013-025-412,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,10,,M1,,MFA,MST 852,1,Studio II,Bianca,Beck,,MFA-FALL,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,,,,15,,,,MFA,MST 851,2,Studio I,Stephen,Benenson,,MFA-SUM,,107,6,,,,
,,0.5,,,,15,,,,MFA,MST 856,2,Studio IV,Stephen,Benenson,,MFA-SUM,,107,6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,12,,,,FN,FN 109,1TST,3D Materiality:  Sculpture. week 1-7,Patricia,Brace,,BFA FALL,TU FR,8:30-11:15,508,2/20,Prof changed,TC email,
0,,,,,,-,,,,FN,FN 109,2WT,3D Materiality:  Sculpture. week 8-15,Patricia,Brace,,BFA FALL,TU FR,8:30-11:15,508,2/20,Prof changed,TC email,
0,,,,,,15,,,,FN,FN 110,4,4D: Space & Temporality,Patricia,Brace,,BFA SPRING,TU FR,8:30-11:15,277-508,2/20,Prof changed,TC email,
1,,,,,,18,,,,FN,FN 101 ,DP1,Digital Imaging: Drawing & Painting,Patricia,Brace,,BFA FALL,TU TH,6:30-9:15,305,2/20,,TC email,
1,,,,,,20,,,,SEM,SEM 353,FA1,3YR Seminar: Fine Art Topics-Practice.  [anticipate 22 students over 2 sections],Patricia,Brace,,BFA FALL,TU FR,3:00-5:45,07,,,,
1,,,,,,MAJORS,,,,PT,PT 351,,Introduction to the Discipline,Patricia,Brace,,BFA SPRING,M TH,4:30-5:45,105,3/10,,,
1,,,,,,JR MAJOR,,,,SC,SC 322,,Sculpture: Junior Major Studio,Patricia,Brace,,BFA SPRING,M TH,8:45-11:30,508,,,,
,,1,,,,10,,M2,,MFA,MST 857,2,Studio V,Patricia,Brace,,MFA-FALL,,,,6,,,1500
,,,,,,,,,,,,,MFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,FN,FN 113,3,Two-Dimensional Design,Jennifer,Brou-J,,BFA FALL,M TH,8:30-11:15,502,3/5,Prof changed,,
1,,,,,,18,,,,FN,FN 113,4,Two-Dimensional Design,Jennifer,Brou-J,,BFA FALL,M TH,1:30-4:15,502,3/5/26,,changed section #,
1,,,,,,18,,,,FN,DR 100,4,Introduction to Drawing,Jennifer,Brou-J,,BFA SPRING,M TH,8:30-11:15,102,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,18,,,,PT,PT 100,1,Foundations in Painting,Philip,Brou-P,,BFA FALL,M TH,8:30-11:15,402,,Prof changed,,
1,,,,,,18,,,,FN,FN 113,2,Two-Dimensional Design,Philip,Brou-P,,BFA FALL,TU FR,8:30-11:15,502,3/5,,changed section #,
1,,,,,,18,,,,PT,PT 224,,Painting the Human Form,Philip,Brou-P,,BFA FALL,TU FR,12:00-2:45,402,,,,
1,,,,,,seniors,,,,PT,PT 421,-,Painting Majors Studio. [anticipate 8 seniors],Philip,Brou-P,,BFA FALL,M TH,8:45-11:30,401,,,,
1,,,,,,18,,,,FN,DR 110,H1,Honors: Introduction to Drawing,Philip,Brou-P,,BFA SPRING,M TH,1:30-4:15,102,3/9,,,
1,,,,,,18,,,,PT,PT 225,,Water Media,Philip,Brou-P,,BFA SPRING,TU FR,8:30-11:15,402,,BLANK,,
1,,,,,,JR MAJOR,,,,PT,PT 322,,Painting Majors Studio,Philip,Brou-P,,BFA SPRING,M TH,8:45-11:30,401,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,20,,,,GD,GD 111,,Perpetual Play,Lorin,Brown,,BFA FALL,M W,6:30-9:15,305- 316B,3/6/26,,moved to spring,
1,,,,,,20,,,,GD,GD 111,,Perpetual Play,Lorin,Brown,,BFA SPRING,M W,6:30-9:15,305- 316A,,,moved to spring,
,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,12,,,,AS,AH 378,,Cultural Remembrance & Traditions of Commemoration,Rebekah,Bryer,,BFA FALL,WED,12:00-2:45,104,,,,
0.5,,,,,,12,,,,AS,WH 378,,Cultural Remembrance & Traditions of Commemoration,Rebekah,Bryer,,BFA FALL,WED,12:00-2:45,104,cross-list w/ AH 378,,,
1,,,,,,25,,,,AS,WH 249,,History as Narrative Storytelling,Rebekah,Bryer,,BFA SPRING,M TH,10:15-11:30,105,Fast track,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,MAT,MAT 810,,"PK-8 Curriculum Design, Development, and Assessment",Corey,Buck,,MAT FALL,August 31- October 14,M W,4:30-7:30,510,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,CE,CE 201,2,Ceramics Throwing- Beginning,Christine ,Caswell,,BFA FALL,,,,,Course is cut,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,AG,AG 101,1,Animation I,Hanji,Chang,,BFA FALL,M TH,8:45-11:30,289,3/6,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,junior,,,,CE,CE 301,,Ceramics III: Major Studio. [anticipate 6 juniors],Autumn,Cipala,,BFA FALL,M TH,8:45-11:30,501-511,,,,
0.5,,,,,,seniors,,,,CE,CE 401,,Ceramics IV: Major Studio [anticipate 2 seniors],Autumn,Cipala,,BFA FALL,M TH,8:45-11:30,501-511,,,,
0,,,,,,14,,,,CE,CE 201,1,Ceramics Throwing- Beginning,Autumn,Cipala,,BFA FALL,WED,9:00-2:45,511,2/20,Prof changed,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,FN,FN 101 ,B1,Digital Imaging & Fabrication,Tracey,Cockrell,,BFA FALL,M TH,8:30-11:15,305-407,3/6,,,
1,,,,,,18,,,,FN,FN 101 ,DP3,Digital Imaging: Drawing & Painting (possibly I&F),Tracey,Cockrell,,BFA FALL,TU FR,3:00-5:45,305,,,,
1,,,,,,15,,,,FN,FN 110,1,4D: Space & Temporality,Tracey,Cockrell,,BFA SPRING,M TH,8:30-11:15,305-502,,,,
1,,,,,,15,,,,FN,FN 110,4,4D: Space & Temporality,Tracey,Cockrell,,BFA SPRING,TU FR,8:30-11:15,277-508,2/20,Prof changed,TC email,
0,,,,,,18,,,,FN,DR 235,,"Landscape: Map, Measure, Draw???",Tracey,Cockrell,,BFA SPRING,TU FR,8:30-11:15,103,,Prof changed,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,IL,IL 104,1,Intro to Ink for Illustrators,Michael,Connor,,BFA FALL,TU FR,8:30-11:15,509,,,,
1,,,,,,18,,,,IL,IL 104,2,Intro to Ink for Illustrators,Michael,Connor,,BFA FALL,TU FR,12:00-2:45,509,,,,
1,,,,,,18,,,,IL,IL 240,1,Setting the Scene ,Michael,Connor,,BFA FALL,M TH,1:30-4:15,509,,,,
