COUNT,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Spring 2027,Professor First name,Professor Last name,JZ,TERM,DAY,TIME,ROOM,NOTE / DATE,Drop Down,DEAN NOTES,LAB FEE
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Academic Studies,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ART HISTORY SURVEY II,,revised schedule,,,,,,,,,,,
1,,,,,,25,,,,AS,AH 102,1,Art History Survey II,Rose,Logie,,BFA SPRING,M TH,8:30-9:45,104,revised schedule,,,
1,,,,,,25,,,,AS,AH 102,2,Art History Survey II,Rose,Logie,,BFA SPRING,M TH,10:15-11:30,104,revised schedule,,,
1,,,,,,25,,,,AS,AH 102,3,Art History Survey II,Alison,Ferris,,BFA SPRING,M TH,3:00-4:15,104,revised schedule,,,
1,,,,,,25,,,,AS,AH 102,4,Art History Survey II,Alison,Ferris,,BFA SPRING,M TH,4:30-5:45,104,revised schedule,,,
x,,,,,,100,,,,,Two class meeting times,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AH 250 Critical Approaches to Contemporary Art,,,,,,,,,,,,,
1,,,,,,25,,,,AS,AH 250,1,Critical Approaches to Contemporary Art,Marie,Shurkus,,BFA SPRING,M TH,8:45-10:00,7,time change,,,
1,,,,,,25,,,,AS,AH 250,2,Critical Approaches to Contemporary Art,Marie,Shurkus,,BFA SPRING,M TH,10:15-11:30,7,,,,
1,,,,,,25,,,,AS,AH 250,3,Critical Approaches to Contemporary Art,Laura,Jourdan Palmer,,BFA SPRING,TU FR,1:30-2:45,104,,,,
1,,,,,,25,,,,AS,AH 250,4,Critical Approaches to Contemporary Art,Laura,Jourdan Palmer,,BFA SPRING,TU FR,3:00-4:15,104,,,,
x,,,,,,100,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,Art History Electives,,,,,,,,,,,,,
1,,,,,,25,,,,AS,AH 312,,"Artist, Museums & the Art Market",Chris,Stiegler,,BFA SPRING,M TH,4:30-5:45,250,,,,
1,,,,,,25,,,,AS,AH 392,,(S) Livable Worlds,sabine,stxrm,,BFA SPRING,WED,12:00-2:45`,104,,,,
1,,,,,,25,,,,AS,AH 397,,19th-Century Media Worlds,Rose,Logie,,BFA SPRING,TH,1:30-4:15,105,Fast track,,,
x,,,,,,IS,,,,AS,AH 440,,(W) Art History Minor Thesis,Rose,Logie,,BFA SPRING,-,-,-,,Independent Study,,
x,,,,,,50,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,English Composition,,revised schedule,,,,,,,,,,,
1,,,,,,20,,,,AS,EN 100,1,English Composition,Pedro,Daher,,BFA SPRING,M TH,8:30-9:45,250,revised schedule,,,
1,,,,,,20,,,,AS,EN 100,2,English Composition,Pedro,Daher,,BFA SPRING,M TH,10:15-11:30,250,revised schedule,,,
1,,,,,,20,,,,AS,EN 100,3,English Composition,Sharon,Kunde,,BFA SPRING,TU FR,10:15-11:30,250,revised schedule,,,
1,,,,,,20,,,,AS,EN 100,4,English Composition,Sharon,Kunde,,BFA SPRING,TU FR,12:00-1:15,250,revised schedule,,,
1,,,,,,20,,,,AS,EN 100,5,English Composition,John,Portlock,,BFA SPRING,TU FR,8:30-9:15,104,revised schedule,,,
x,,,,,,100,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Liberal Arts- Humanities or Social Science ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,25,,,,AS,HU 361,,(S) Ruins & Reclamation ,sabine,sxtrm,,BFA SPRING,M TH,4:30-5:45,7,,,,
1,,,,,,20,,,,AS,HU 370,,(W) Writing Past Catharsis: Micro-Memoir,Alana,Dao,,BFA SPRING,TU FR,12:00-1:15,104,3/9/26,,,
1,,,,,,25,,,,AS,HU 380,,Zombie Poiesis: Beyond Capitalism,Sharon,Kunde,,BFA SPRING,WED,3:00-5:45,104,fast track,,,
1,,,,,,25,,,,AS,HU 381,,"(S) Witchcraft: Madness, Visions, and Witnesses ",sabine,sxtrm,,BFA SPRING,M TH,1:30-2:45,104,fast track,,,
1,,,,,,25,,,,AS,HU 383,,Autofiction: Documenting the Self,sabine,stxrm,,BFA SPRING,M TH,6:30-7:45,7,fast track. 3/9,,,
x,,,,,,395,,,,0,,,,,,,,,,,,,,
x,,,,,,IS,,,,AS,HU 440,,(W) Writing Minor Capstone,Pedro,Daher,,BFA SPRING,-,-,-,,Independent Study,,
x,,,,,,IS,,,,AS,HU 445,,(S) Sustainable Ecosystems: Art & Design Minor Capstone,sabine,sxtrm,,BFA SPRING,-,-,-,,Independent Study,,
,,,,,,,,,,,Liberal Arts- Natural Science,,,,,,,,,,,,,
1,,,,,,20,,,,AS,NS 255,,(AE) The Business of Art,Sara,Juli,,BFA SPRING,WED,12:00-2:45,208,,,,
